-5,0.2958129149
-4.9,0.1898436286
-4.8,0.0878358679
-4.7,-0.0123896138
-4.6,-0.1128645892
-4.5,-0.2156412320
-4.4,-0.3229636404
-4.3,-0.4374744310
-4.2,-0.5624993681
-4.1,-0.7024807847
-4.0,-0.8636911550
-3.9,-1.0554929092
-3.8,-1.2927310796
-3.7,-1.6006836197
-3.6,-2.0264790705
-3.5,-2.6696164818
-3.4,-3.7833373396
-3.3,-6.2599475457
-3.2,-17.1016605075
-3.1,24.0288418207
-3.0,7.0152525572
-2.9,4.0583527196
-2.8,2.8127034971
-2.7,2.1153830218
-2.6,1.6622433994
-2.5,1.3386481293
-2.4,1.0916860263
-2.3,0.8934844631
-2.2,0.7278957755
-2.1,0.5848478067
-2.0,0.4576575548
-1.9,0.3416353555
-1.8,0.2333035351
-1.7,0.1299274641
-1.6,0.0292119779
-1.5,-0.0709148446
-1.4,-0.1724767259
-1.3,-0.2776156471
-1.2,-0.3887795688
-1.1,-0.5089681048
-1.0,-0.6420926159
-0.9,-0.7935511471
-0.8,-0.9712146000
-0.7,-1.1872418321
-0.6,-1.4616959483
-0.5,-1.8304877204
-0.4,-2.3652224219
-0.3,-3.2327281396
-0.2,-4.9331548713
-0.1,-9.9666443852
0.0,null
0.1,9.9666443852
0.2,4.9331548713
0.3,3.2327281396
0.4,2.3652224219
0.5,1.8304877204
0.6,1.4616959483
0.7,1.1872418321
0.8,0.9712146000
0.9,0.7935511471
1.0,0.6420926159
1.1,0.5089681048
1.2,0.3887795688
1.3,0.2776156471
1.4,0.1724767259
1.5,0.0709148446
1.6,-0.0292119779
1.7,-0.1299274641
1.8,-0.2333035351
1.9,-0.3416353555
2.0,-0.4576575548
2.1,-0.5848478067
2.2,-0.7278957755
2.3,-0.8934844631
2.4,-1.0916860263
2.5,-1.3386481293
2.6,-1.6622433994
2.7,-2.1153830218
2.8,-2.8127034971
2.9,-4.0583527196
3.0,-7.0152525572
3.1,-24.0288418207
3.2,17.1016605075
3.3,6.2599475457
3.4,3.7833373396
3.5,2.6696164818
3.6,2.0264790705
3.7,1.6006836197
3.8,1.2927310796
3.9,1.0554929092
4.0,0.8636911550
4.1,0.7024807847
4.2,0.5624993681
4.3,0.4374744310
4.4,0.3229636404
4.5,0.2156412320
4.6,0.1128645892
4.7,0.0123896138
4.8,-0.0878358679
4.9,-0.1898436286
5.0,-0.2958129149
